resource_id,source,title,url,resource_type,format,course_type,openings,color,author,author_title,level_min,level_max,level_tier,duration_min,price_eur,is_free,has_video,has_pgn,has_exercises,has_spaced_rep,rating_score,views_yt,pub_date,description,level_tier_original,level_tier_source,level_tier_new
mc__1_b3_larsen_opening_with_gm_raunak_sadhw,modern_chess,1.b3 Larsen Opening with GM Raunak Sadhwani),https://www.modern-chess.com/course/1-b3-larsen-opening-with-gm-raunak-sadhwani/24034/,course,video,opening,Larsen Opening|1.b3,Both,Modern Chess Team,,2300.0,3000.0,expert,,,0,1,1.0,0.0,0.0,,,,"GM Raunak Sadhwani, the 9th youngest grandmaster in chess history and a chess prodigy, is here with his first-ever chess course 1.b3 opening for White. This sharp, almost unexplored opening is studied and decoded by Sadhwani in this exclusive 7-hour video training with real game commentaries and lin",expert,range_only,expert
mc__understand_the_trompowsky_theoretical_tr,modern_chess,Understand the Trompowsky - Theoretical Trends,https://www.modern-chess.com/course/understand-the-trompowsky-theoretical-trends/74001/,course,video,opening,Trompowsky Attack|1.d4,Both,"GMAlexander Moiseenko, GMIoannis Papaioannou, GMMichael Roiz",GM,2300.0,3000.0,expert,300.0,,0,1,1.0,1.0,0.0,,,,"August 13, 2021Trompowsky Attack1.d4",expert,range_only,expert
mc__understand_the_trompowsky_typical_pawn_s,modern_chess,Understand the Trompowsky - Typical Pawn Structures,https://www.modern-chess.com/course/understand-the-trompowsky-typical-pawn-structures/33968/,course,video,opening,Trompowsky Attack|1.d4,Both,"GMGrigor Grigorov, GMKrasimir Rusev, GMSwapnil Dhopade",GM,2300.0,3000.0,expert,300.0,,0,1,1.0,1.0,0.0,,,,"August 2, 2021Trompowsky Attack1.d4",expert,range_only,expert
mc__complete_dragon_repertoire,modern_chess,Complete Dragon Repertoire,https://www.modern-chess.com/course/complete-dragon-repertoire/43902/,course,video,opening,Sicilian Defense|1.e4,Both,GMMihail Marin,GM,1200.0,3000.0,intermediate,120.0,,0,1,1.0,0.0,1.0,,,,"We have the pleasure to present a unique opening course by GM Mihail Marin - Complete Dragon Repertoire. This opening database is different from everything we have been doing so far.The material consists of the following components: Theoretical Part (51 Opening Chapters), Video Part (2 hours running",intermediate,fallback_lmin,intermediate
mc__reti_opening_pawn_structures_strategy_ta,modern_chess,"Reti Opening - Pawn Structures, Strategy, Tactical Ideas, and Theoretical Trends",https://www.modern-chess.com/course/reti-opening-pawn-structures-strategy-tactical-ideas-and-theoretical-trends/93869/,course,video,opening,Reti Opening|1.Nf3,Both,"GMBoris Avrukh, GMDavorin Kuljasevic, GMDejan Bojkov, GMGrigor Grigorov, GMMihail Marin, GMPetar G. Arnaudov",GM,1200.0,3000.0,intermediate,600.0,,0,1,1.0,1.0,0.0,,,,"July 14, 2021Reti Opening1.Nf3",intermediate,fallback_lmin,intermediate
mc__ambitious_repertoire_against_the_london_,modern_chess,Ambitious Repertoire against the London System,https://www.modern-chess.com/course/ambitious-repertoire-against-the-london-system/53836/,course,video,opening,London System|1.d4,Both,GMBoris Avrukh,GM,1200.0,3000.0,intermediate,100.0,,0,1,1.0,0.0,1.0,,,,"In this course (based on a group lecture), GM Boris Avrukh builds a reliable and ambitious repertoire for Black against the London System. The foundation of his approach are the setups with ...g7-g6.True to his style, Avrukh provides many new and less explored ideas, thus tremendously increasing the",intermediate,fallback_lmin,intermediate
mc__sicilian_defense_kalashnikov_variation_w,modern_chess,Sicilian Defense: Kalashnikov Variation with GM Misa Pap,https://www.modern-chess.com/course/sicilian-defense-kalashnikov-variation-with-gm-misa-pap/13803/,course,video,opening,Sicilian Defense|1.e4,Both,Modern Chess Team,,2300.0,3000.0,expert,,,0,1,1.0,0.0,0.0,,,,"The Sicilian Defense is easily one of the hardest openings to master—especially when you are playing an “open” line like the Kalashnikov!This 10-hour video training on the Sicilian Kalashnikov covers the main ideas behind Black’s setup, the positional opportunities, the dangers lurking behind. It he",expert,range_only,expert
mc__learn_from_garry_kasparov_with_gm_pap_gy,modern_chess,Learn from Garry Kasparov  with GM Pap Gyula,https://www.modern-chess.com/course/learn-from-garry-kasparov-with-gm-pap-gyula/63770/,course,video,general,,Both,Modern Chess Team,,1200.0,3000.0,intermediate,,,0,1,1.0,0.0,0.0,,,,"GM Gyula Pap is here with his brand-new course 'Learn from Garry Kasparov', a huge 10+ hours of video training to help you decode the complex move choices in his games, the general approach toward chess, and how to simply run over his opponents like a steamroller!",intermediate,fallback_lmin,intermediate
mc__practical_rook_endgames,modern_chess,Practical Rook Endgames,https://www.modern-chess.com/course/practical-rook-endgames/33671/,course,video,endgame,,Both,"GMDavorin Kuljasevic, GMGrigor Grigorov, GMIoannis Papaioannou, GMPetar G. Arnaudov",GM,1200.0,3000.0,intermediate,420.0,,0,1,1.0,1.0,0.0,,,,"June 18, 2021",intermediate,fallback_lmin,intermediate
mc__ambitious_repertoire_against_the_italian,modern_chess,Ambitious Repertoire against the Italian Game,https://www.modern-chess.com/course/ambitious-repertoire-against-the-italian-game/83638/,course,interactive,opening,Italian Game|1.e4,Both,GMKiril Georgiev,GM,1200.0,3000.0,intermediate,,,0,0,1.0,1.0,1.0,,,,"The Italian Game is nowadays as a good old wine, there is rarely a week with less than a new hundred games in it. All the leading players are engaged in the heavy theoretical discussion, in a recent match between MVL and Nakamura the real battle even started after move 21. The purpose of this databa",intermediate,fallback_lmin,intermediate
